Establishment_PredictedPowerScore,Establishment_ID,Establishment_Rank,Establishment_Street,Establishment_Name
86.210644092,100488,1,S. 3RD STREET,SAFARI CAFE
86.5063509801,101666,2,PHILLIPS LN,PITA HUT SW3
87.7843019666,99469,3,W. JEFFERSON STREET,STEVIE J'S
87.7955936649,98166,4,W. BROADWAY,CHINA BISTRO II
88.8648385242,99101,5,PRESTON HWY,TORTA LOCA
88.8864394331,100533,6,BAXTER AVE.,EL NOPAL
88.9044963013,65215,7,S. HURSTBOURNE PARKWAY,JUMBO BUFFET
88.9312284615,57205,8,ELZIE RD,EL RODEO
88.9409453835,97752,9,BARDSTOWN RD,FALAFEL HOUSE
89.3969844807,84423,10,DIXIE HIGHWAY,HEITZMAN BAKERY
89.5605754502,34216,11,BARDSTOWN RD,SOL AZTECAS
90.2100501792,92244,12,S 4TH STREET,8 TASTE OF CHINA
90.2526720574,96120,13,DIXIE HWY,HOOTERS
90.2769362969,91464,14,PRESTON HWY,LA LOMA
90.5290667912,91110,15,DUTCHMANS LN,DENNY'S RESTAURANT
90.5479487419,95132,16,S. 5TH ST.,WEI WEI CHINESE EXPRESS
90.7547012588,95804,17,WESTPORT RD.,VILLE TAQUERIA
90.8355913205,93490,18,N. DIXIE HWY.,APPLEBEE'S
90.907063621,88166,19,S. 5TH STREET,SPINELLI'S CAFE
90.9471407545,88042,20,GOLDSMITH LANE,DAIRY QUEEN #310
90.9484466539,75549,21,GREENWOOD ROAD,1ST WOK
90.9535593249,101660,22,S. 7TH STREET RD,7TH STREET BAR & GRILL
91.1766088519,89846,23,BARRETT AVE,DIAMONDS PUB
91.1987223654,93299,24,DIXIE HWY.,SPINELLIS
91.2118480611,100861,25,S. HURSTBOURNE PKWY.,GILBERTO'S
91.2246851037,92583,26,W. OAK STREET,SOUTHERN EXPRESS
91.2678481014,94642,27,BARDSTOWN RD.,JOY LUCK ASIAN CUISINE
91.2682051449,91738,28,BRECKENRIDGE LN,O'CHARLEY'S
91.3306375285,33408,29,N. 22ND ST,MCDONALD'S #6895
91.341349644,98575,30,FOREST GREEN BLVD,EL RIO GRANDE
91.3959602395,36392,31,BARDSTOWN ROAD,CAFE 360 & MANTRA LOUNGE
91.4144719598,97684,32,S 8TH STREET,JUBA RESTAURANT
91.452527977,84844,33,W BROADWAY,HOTEL LOUISVILLE
91.5057834943,34996,34,W. MAIN STREET,LOS AZTECAS
91.5416853587,101018,35,NEWBURG ROAD,DUNKIN DONUTS #354744
91.5421494403,51860,36,S. 7TH STREET ROAD,1ST WOK CHINESE RESTAURANT
91.5747179975,49711,37,OUTER LOOP,STEAK & SHAKE #702
91.6933112232,98333,38,W MANSLICK RD,FAIRDALE PIZZA
91.7079397356,43628,39,TAYLORSVILLE ROAD,SHOGUN JAPANESE STEAK HOUSE
91.7106420133,96326,40,W MUHAMMAD ALI BLVD,HIKO-A-MON
91.7344921524,32829,41,FLINTLOCK DRIVE,JOHN O'BRYAN'S
91.7499598072,91692,42,OUTER LOOP,O'CHARLEY'S
91.7509203391,65180,43,PRESTON HIGHWAY,HIBACHI SUSHI GRILL
91.7891711322,87106,44,BARDSTOWN ROAD,WILD GINGER BISTRO
91.791891523,78291,45,FRANKFORT AVENUE,DIAMOND PUB & BILLIARDS
91.8102869419,98623,46,HIKES LN,CHINA KING
91.8570812869,86635,47,W. MAIN STREET,BLUEGRASS BREWING COMPANY
91.8712015323,87483,48,W. BROADWAY,CHICAGO STEAK AND LEMONADE
91.9092832794,91156,49,S 4TH ST,FUDGERY
91.9384470337,92698,50,"BROWNSBORO RD., SUITE 8",CASA FIESTA
91.9445254452,72496,51,BAXTER AVENUE,SPINELLI'S PIZZARIA
91.9515810162,33441,52,OLD 3RD ST RD,LEE'S RECIPE
91.9836857022,100440,53,POPLAR LEVEL ROAD,MCDONALD'S #4924
91.9863439447,97382,54,S. 4TH ST,EL MICHELADAS BAR
91.9976312729,34003,55,W. MARKET ST,HEALING PLACE SOUP KITCHEN
92.0048861777,100578,56,S. FLOYD STREET,U OF L THORNTON'S ACADEMIC CENTER
92.0356769097,101779,57,S. 28TH STREET,IRMA DEE'S
92.0374080997,34696,58,S. SPRING ST,SPRING ST-A BAR & GRILL
92.0704746049,44350,59,LOCUST DRIVE,PASS TIME FISH HOUSE & TAVERN
92.102959368,98095,60,BISHOP LN. SUITE 100,EXECUTIVE BISTRO
92.1461745514,58857,61,W. WOODLAWN AVENUE,ANNIE'S CAFE
92.2241902806,101505,62,S 4TH ST,"G MEALS PLANT-BASED, LLC"
92.2631785504,100450,63,NELSON MILLER PKWY.,BELL'S CAFE
92.2774253479,83409,64,S 4TH ST,SPORTS & SOCIAL CLUB
92.2889383126,34814,65,BISHOP LN,WAFFLE HOUSE #179
92.3025667451,88068,66,WALLACE AVENUE,NAM-NAM CAFE
92.3722375774,100784,67,S. 4TH STREET,SAFIER MEDITERRANEAN DELI
92.3780609059,34773,68,BERRY BLVD,FOXY LADY
92.4011576517,94148,69,SHELBYVILLE RD.,CLAY OVEN INDIAN RESTAURANT
92.4126186925,35197,70,CANE RUN ROAD,WAFFLE HOUSE #221
92.4173092325,96899,71,BARDSTOWN RD,MELLOW MUSHROOM
92.4323693987,99279,72,W. HILL STREET,RALLY'S #8249
92.4338254605,84188,73,UPS DRIVE,ICELAND SPORTS COMPLEX CONCESSION
92.4581535031,90962,74,EASTERN PKWY,DENNY'S
92.4687452544,93598,75,"RUCKRIEGEL PKWY., SUITE 108",CHINA KING
92.4863456515,93850,76,LYNDON LN.,CANCUN MEXICAN RESTAURANT
92.5104633541,96506,77,S. FLOYD ST.,COCONUT BEACH TACOS & CERVEZA
92.5213121847,82537,78,DIXIE HIGHWAY,FRANCO'S RESTAURANT
92.5251783288,51013,79,BAXTER AVENUE,O'SHEA'S
92.5319232537,97033,80,TAYLOR BLVD.,BELLA'S DINER
92.5339967872,99075,81,FRANKFORT AVE,HUB LOUISVILLE
92.5393729916,32910,82,PHILLIPS LN,BLUE HORSE
92.5651344425,33212,83,WHIPPS MILL RD,R PLACE PUB
92.6023503625,35173,84,W. BROADWAY,INDI'S FAST FOODS
92.6137356135,97683,85,POPLAR LEVEL RD,KRUSH RESTAURANT LOUNGE & BILLIARDS
92.6139444097,90742,86,NEWBURG ROAD,INTERNATIONAL GRILL
92.6678921639,80286,87,FRANKFORT AVENUE,GERSTLE'S
92.6680987305,32114,88,NEW LAGRANGE ROAD,CORNER CAFE & PIZZERIA
92.682415923,34628,89,SHELBYVILLE ROAD,ORIENTAL HOUSE
92.6872823385,35206,90,CANE RUN ROAD,MCDONALD'S RESTAURANT #6835
92.7185323294,99158,91,DIXIE HWY,RALLY'S
92.7911737627,98505,92,BARDSTOWN RD,MI SUENO RESTAURANT
92.7987266781,57616,93,W. BROADWAY,BIG MOMMA'S SOUL KITCHEN
92.8352876188,52300,94,S. HURSTBOURNE PARKWAY,SHALIMAR RESTAURANT
92.8352957116,29790,95,BARDSTOWN ROAD,ANGIO'S
92.8844002518,92726,96,ANTLE DRIVE,EL ACAPULCO
92.9569707653,38833,97,SOUTH 26TH STREET,CLUB CEDAR
92.9625412993,100648,98,WARNOCK ST.,BANDIDO'S TAQUERIA MEXICANA
92.9675185875,84137,99,BARDSTOWN ROAD,DRAGON KINGS DAUGHTER
92.9684907747,34786,100,UPPER RIVER RD,KINGFISH #2
92.9787389154,91649,101,OUTER LOOP,FISHERY STATION
92.9874610702,94094,102,PRESTON HWY.,"EL MOLCAJETE KY, INC."
92.9998648282,86280,103,WESTPORT ROAD,FRESH WOK
93.0040604258,93441,104,TAYLORSVILLE ROAD,APPLEBEE'S
93.0054098704,93425,105,OUTER LOOP,APPLEBEE'S
93.0260215917,90189,106,BRECKENRIDGE LN,QDOBA
93.0369877047,96189,107,PRESTON HWY.,SLEEP INN AIRPORT
93.0476364939,34177,108,DIXIE HIGHWAY,POPEYE'S
93.0527817761,33164,109,WOODHAVEN RD,WOODHAVEN COUNTRY CLUB
93.0875985994,90391,110,S. BROOK STREET,SALVATION ARMY CENTER OF HOPE
93.1103898323,71030,111,CRITTENDEN DRIVE,CARDINAL HALL OF FAME
93.1177944946,101396,112,POLO FIELDS LN,POLO FIELDS COUNTRY CLUB
93.1449615322,99118,113,BARDSTOWN RD,BAWERCHI RESTAURANT
93.1455241352,36693,114,S. 5TH ST,LORDS KITCHEN
93.1823281281,34259,115,BARDSTOWN RD,POPEYE'S
93.1831014464,56472,116,BLAIRWOOD ROAD,WAFFLE HOUSE# 1111
93.2201131224,84361,117,STORY AVENUE,SERGIO'S
93.231012162,89357,118,PAMELA RAE DRIVE,WAFFLE HOUSE #1069
93.2361747293,94647,119,W. CARDINAL BLVD.,CHINA EXPRESS GOURMET CHINESE
93.24870423,98996,120,DUTCHMAN'S LANE,MANGOS MEXICAN GRILL AND CANTINA
93.2686639043,96805,121,W. CARDINAL BLVD.,GRIFF'S
93.2790504136,82602,122,W OAK STREET,DIXIE CHICKEN
93.2932699167,66126,123,BARDSTOWN ROAD,WAFFLE HOUSE #1444
93.2945040758,52124,124,FRANKFORT AVENUE,FRANKFORT AVENUE BEER DEPOT
93.2991274735,77988,125,S. 4TH STREET,TENGO SED CANTINA
93.3063078654,101146,126,PRESTON HWY,DIXIE CHICKEN #3
93.3063078654,101654,127,W. OAK ST,SEAFOOD LADY
93.3063078654,101834,128,DUNDEE ROAD,DIORIO'S PIZZA PUB
93.3140203504,34455,129,BARDSTOWN RD,CAPTAIN D'S #3615
93.3297887755,74408,130,SHELBYVILLE ROAD,LEMON GRASS RESTAURANT
93.3360818413,90149,131,CRITTENDEN DR,PRP PIZZA
93.3530716054,35135,132,BRECKINRIDGE LN,CAPTAIN D'S #3311
93.3574177348,42094,133,LIMEHOUSE LANE,OXMOOR COUNTRY CLUB
93.3582537923,59008,134,BARDSTOWN ROAD,TUMBLEWEED
93.3827280356,72225,135,TAYLORSVILLE ROAD,DOUBLE DRAGON #9
93.3828817966,46878,136,BARDSTOWN ROAD,RAMSI'S
93.3916451945,87706,137,SHELBYVILLE ROAD,SPINELLI'S PIZZERIA
93.4196366751,33602,138,OLD 3RD ST RD,MCDONALD'S #6859
93.4268608157,82716,139,MANSLICK RD,CHINA COAST
93.4482013647,33597,140,S. 3RD STREET,MCDONALD'S RESTAURANT #6877
93.4550148652,49849,141,KENTUCKY MILLS DRIVE,WAFFLE HOUSE #932
93.4735018074,50068,142,FRANKFORT AVENUE,BOURBON'S BISTRO
93.4899831296,33063,143,W MUHAMMAD ALI BLVD,G.L.I. FOOD SERVICE
93.4948212362,101310,144,SHELBYVILLE RD,FREAKIN UNBELIEVABLE BURGERS
93.498887763,81288,145,BARDSTOWN ROAD,DAKSHIN
93.4996417799,34225,146,BARDSTOWN ROAD,STEAK N SHAKE #701
93.5032133291,33245,147,S. 4TH ST,CHINA INN
93.5090426307,35149,148,E. BROADWAY,CHOPSTICKS
93.5103641998,33823,149,W BROADWAY,MCDONALD'S
93.5189864082,34377,150,PRESTON HWY,MCDONALD'S RESTAURANT #6834
93.520596307,90211,151,POPLAR LEVEL RD,KRISPY KRUNCHY
93.5227296142,93039,152,PACKERLAND WAY,ASIAN POT
93.5266716667,33070,153,CAPTAINS QUARTERS RD,CAPTAIN'S QUARTERS
93.5347893354,78841,154,DIXIE HIGHWAY,RIVER GIRLS LOUNGE
93.5351831556,97376,155,EASTERN PKWY,SARANG
93.5449069594,71271,156,BARDSTOWN ROAD,BUFFALO WILD WINGS GRILL & BAR
93.5679947594,95878,157,RIVER RD.,DARKSTAR ON THE CREEK
93.5835115316,60012,158,DIXIE HIGHWAY,INDI'S
93.5912626038,61091,159,FISCHER PARK DRIVE,STEAK N SHAKE #707
93.597468342,49969,160,DIXIE HIGHWAY,CHONG GARDEN
93.5987359672,79927,161,OLD SHEPHERDSVILLE ROAD,LA SIERRA TARASCA RESTAURANT
93.5997846658,96192,162,OUTER LOOP,EAST STAR BUFFET
93.6120287123,33399,163,BAXTER AVE,WICKS PIZZA
93.6123867955,87697,164,TERRY ROAD,GILBERTS BAR & GRILL
93.6127779758,88066,165,CENTRAL AVENUE,POST-TIME KITCHEN
93.6243473844,33863,166,BARDSTOWN RD,BACK DOOR
93.632181114,32537,167,DIXIE HWY,KINGS FRIED CHICKEN
93.6334356838,33789,168,DIXIE HWY,STEAK N SHAKE #708
93.6439885665,98334,169,LEXINGTON RD,LE MOO
93.648000898,97470,170,BARDSTOWN RD,BAZO'S FRESH MEXICAN GRILL
93.648165486,34714,171,TAYLOR BLVD,MCDONALD'S #6899
93.6677418753,66448,172,OUTER LOOP,JADE GARDEN
93.6791323476,90679,173,DIXIE HWY,B J'S SPORTS PUB
93.6843849888,96041,174,PRESTON HWY.,HOOTERS
93.7004517464,97525,175,BARDSTOWN RD,DOUBLE DRAGON #2
93.7068340786,49678,176,DEL MARIA WAY,TK'S PUB & GRILL
